GEOID,SUMLEVEL,ST,COUNTY,BLKGRP,Total,Male,MaleUnder5Yrs,Male5to9Yrs,Male10to14Yrs,Male15to17Yrs,Male18to19Yrs,Male20Yrs,Male21Yrs,Male22to24Yrs,Male25to29Yrs,Male30to34Yrs,Male35to39Yrs,Male40to44Yrs,Male45to49Yrs,Male50to54Yrs,Male55to59Yrs,Male60to61Yrs,Male62to64Yrs,Male65to66Yrs,Male67to69Yrs,Male70to74Yrs,Male75to79Yrs,Male80to84Yrs,Male85YrsOrOver,Female,FemaleUnder5Yrs,Female5to9Yrs,Female10to14Yrs,Female15to17Yrs,Female18to19Yrs,Female20Yrs,Female21Yrs,Female22to24Yrs,Female25to29Yrs,Female30to34Yrs,Female35to39Yrs,Female40to44Yrs,Female45to49Yrs,Female50to54Yrs,Female55to59Yrs,Female60to61Yrs,Female62to64Yrs,Female65to66Yrs,Female67to69Yrs,Female70to74Yrs,Female75to79Yrs,Female80to84Yrs,Female85YrsOrOver,COMPONENT,TRACT
15000US060375723011,150,6,37,1,1946,905,76,25,117,39,17,40,18,23,52,43,51,92,62,45,54,23,18,15,6,42,23,11,13,1041,90,51,30,94,32,0,24,30,144,55,82,27,114,74,43,23,15,15,24,61,4,3,6,0,572301
15000US060375723012,150,6,37,2,1694,972,86,87,94,65,75,31,0,77,75,22,88,66,94,44,11,6,0,6,11,27,0,0,7,722,42,60,82,51,48,0,0,53,28,31,80,59,32,49,50,11,7,0,5,11,3,0,20,0,572301
15000US060375723021,150,6,37,1,847,470,32,65,32,0,25,0,26,59,19,59,8,7,8,71,28,0,4,0,4,0,0,23,0,377,37,32,41,8,1,0,20,36,6,45,6,27,58,20,9,9,4,0,0,5,13,0,0,0,572302
15000US060375723022,150,6,37,2,1193,637,11,61,13,19,5,23,0,68,127,28,6,50,27,86,27,0,45,4,16,0,10,11,0,556,27,28,50,113,11,0,0,5,46,5,20,31,70,57,37,0,29,0,6,5,16,0,0,0,572302
15000US060375723023,150,6,37,3,1814,873,48,64,143,72,17,0,10,23,19,90,69,43,16,78,23,0,49,23,39,15,24,0,8,941,64,97,117,25,0,24,27,25,58,102,79,28,75,22,24,0,63,0,33,58,5,7,8,0,572302
15000US060375724001,150,6,37,1,1049,465,12,9,48,54,4,6,5,12,50,17,29,21,34,33,34,35,17,9,0,4,5,17,10,584,9,35,28,19,17,16,21,42,18,16,34,31,58,47,33,29,15,23,10,23,37,23,0,0,572400
15000US060375725001,150,6,37,1,1694,596,81,21,17,23,43,16,0,18,39,22,42,39,0,0,14,0,10,16,27,50,66,23,29,1098,94,86,39,92,28,0,11,124,28,46,25,65,39,48,18,0,18,19,51,53,97,52,65,0,572500
15000US060375725002,150,6,37,2,1411,730,111,54,84,43,7,0,14,70,55,60,15,30,9,46,21,0,56,40,0,6,0,9,0,681,44,60,36,0,20,0,17,63,82,94,14,28,28,75,49,9,4,9,15,22,0,0,12,0,572500
15000US060375726001,150,6,37,1,1068,473,13,0,105,12,26,13,21,0,10,69,9,24,21,38,9,35,22,0,0,13,22,0,11,595,0,0,57,32,11,12,0,22,33,45,11,26,56,62,18,22,18,5,16,91,10,18,30,0,572600
15000US060375726002,150,6,37,2,1635,1075,55,56,77,0,55,0,8,132,50,150,170,12,47,31,110,19,65,0,13,8,11,6,0,560,28,46,13,8,0,0,0,29,84,84,7,44,39,33,48,22,29,8,11,5,5,17,0,0,572600
15000US060375726003,150,6,37,3,1806,993,39,192,41,29,50,6,1,48,52,195,25,48,31,67,26,9,42,41,0,34,5,12,0,813,29,94,77,6,66,11,8,62,61,0,44,56,62,48,34,17,40,0,0,60,20,0,18,0,572600
15000US060375726004,150,6,37,4,771,385,0,33,20,0,13,34,0,16,71,10,8,57,21,0,53,16,11,15,7,0,0,0,0,386,38,34,9,14,12,0,0,0,39,10,51,45,10,37,21,0,33,5,0,10,8,0,10,0,572600
15000US060375727001,150,6,37,1,1170,550,60,32,31,37,51,0,0,67,19,0,85,23,42,24,20,0,26,0,14,5,6,8,0,620,30,8,41,28,24,58,0,0,0,31,18,73,24,0,84,56,0,28,16,26,28,23,24,0,572700
15000US060375727002,150,6,37,2,1171,552,28,21,42,52,33,18,0,0,0,21,20,100,76,35,31,0,0,0,6,38,25,6,0,619,11,56,116,7,8,12,0,9,53,44,19,72,21,62,26,0,11,0,50,13,0,16,13,0,572700
15000US060375727003,150,6,37,3,1587,729,141,18,28,18,8,16,6,0,100,30,66,3,34,57,73,14,24,0,12,30,0,26,25,858,76,39,22,0,51,0,32,75,0,116,109,11,0,57,38,0,102,7,46,29,19,10,19,0,572700
15000US060375727004,150,6,37,4,1720,828,35,35,56,77,45,12,0,46,68,42,72,48,68,26,39,44,7,9,57,1,36,0,5,892,17,20,153,19,31,10,10,24,56,49,86,43,34,66,80,8,10,0,27,17,15,58,59,0,572700
